	Unnamed: 0	year	target	target_form	L	target_msd	masked_text	orig_text	target_i	A	B	msd	logit_A	logit_B
0	0	1880	eli	eli	65	SUBCAT_CC	Kaikki nct henkilöt Porin maaseuraiun . nassa , joilla ou alaikäisten MATCH holhunnalaisten rahaa eli omaisuutta hoidcttawana eli jotta Oikeudella owat holhoojiksi määrätyt , lästctääu mitä pikemmin sitä parein » pi ja wiimeistääuti cuucn 12' . ttä päiwää uouscwaa elokuuta tnoda luunnNislauta » kunnalle eli allelirjoittaneclle todelliset ja tarpeellisilla knitcilln warnötctnt tilit holhouksistaan , jotia tilit sittemmin tulewat kun » valta asetetun komitean tarkaötcttawitsi .	Kaikki nct henkilöt Porin maaseuraiun . nassa , joilla ou alaikäisten eli holhunnalaisten rahaa eli omaisuutta hoidcttawana eli jotta Oikeudella owat holhoojiksi määrätyt , lästctääu mitä pikemmin sitä parein » pi ja wiimeistääuti cuucn 12' . ttä päiwää uouscwaa elokuuta tnoda luunnNislauta » kunnalle eli allelirjoittaneclle todelliset ja tarpeellisilla knitcilln warnötctnt tilit holhouksistaan , jotia tilit sittemmin tulewat kun » valta asetetun komitean tarkaötcttawitsi .	11	eli	tai	SUBCAT_CC	5.337213516235352	6.212507247924805
1	1	1880	eli	eli	53	SUBCAT_CC	Kun hän tahtoo kerran muka olla niin mahtama kansalainen , ja koska hän kerran on palkattll peräänkatsojaksi , niin ainakin ininä maalisin häneltä senmerran huolenpitoa toimessansa , että tietäisi edes sen mannaan sanoa , kuinka monta kuormaa kukin on ajanut , wai onko se kansalaisuutta , MATCH mitä Kristiinalaista huolettomuutta se lienee .	Kun hän tahtoo kerran muka olla niin mahtama kansalainen , ja koska hän kerran on palkattll peräänkatsojaksi , niin ainakin ininä maalisin häneltä senmerran huolenpitoa toimessansa , että tietäisi edes sen mannaan sanoa , kuinka monta kuormaa kukin on ajanut , wai onko se kansalaisuutta , eli mitä Kristiinalaista huolettomuutta se lienee .	46	eli	tai	SUBCAT_CC	11.324721336364746	12.460569381713867
2	2	1880	eli	eli	39	SUBCAT_CC	maanwiljclvskonlnuu Muholsella wastaauotctaau micsoppilaita Marraskuun 1 päiwäuä ; ja keh oitctaan kaikkia oppilaiksi pyrkiwiä ennen elokuun kuluttua lähettiimaan hakemnskirjansa mainitnu koulun Johtokunnalle myötä liittäen papinlirja . jossa mainitaan hakijain lukntaidosta ja lääkärin todistus ynnä wauhempain MATCH holhojan lupakirjan .	maanwiljclvskonlnuu Muholsella wastaauotctaau micsoppilaita Marraskuun 1 päiwäuä ; ja keh oitctaan kaikkia oppilaiksi pyrkiwiä ennen elokuun kuluttua lähettiimaan hakemnskirjansa mainitnu koulun Johtokunnalle myötä liittäen papinlirja . jossa mainitaan hakijain lukntaidosta ja lääkärin todistus ynnä wauhempain eli holhojan lupakirjan .	35	eli	tai	SUBCAT_CC	6.525022029876709	7.752669811248779
3	3	1880	eli	eli	50	SUBCAT_CC	Majesteti nähnyt hywäksi määrätä , etta kirkkoherrat Suomenmaassa saawat , 1 päiwästä Tammikuuta 1881 lukien , jolloin Asewelwollisuus-laki , annettu 27 p:nä loulukuuta 1878 / ästuu lailliseen woimaan , wäpaakirje-öikeuden käyttämiselle yleensä säännetyillä ehdöilla nauttia porto- MATCH postiwaftauttll kirjewaihdon sattuessa semmiiisessa ' täpauksessaj kvin sanotun lam 52 §:Ssä tarkoitetaän !	Majesteti nähnyt hywäksi määrätä , etta kirkkoherrat Suomenmaassa saawat , 1 päiwästä Tammikuuta 1881 lukien , jolloin Asewelwollisuus-laki , annettu 27 p:nä loulukuuta 1878 / ästuu lailliseen woimaan , wäpaakirje-öikeuden käyttämiselle yleensä säännetyillä ehdöilla nauttia porto- eli postiwaftauttll kirjewaihdon sattuessa semmiiisessa ' täpauksessaj kvin sanotun lam 52 §:Ssä tarkoitetaän !	36	eli	tai	SUBCAT_CC	8.237619400024414	9.470608711242676
4	4	1880	eli	eli	128	SUBCAT_CC	että armostelukuntaan pitää » valittaman neljä henkeä , Mka harjoittamat elinkeinon taikka liikettä kaupungissa , yhtä monta , jotka nauttimat palkkaa , penstonia MATCH muuta sisääntuloa , sekä neljä kaupungissa olemaa kiinteän omistajaa ; tutlintokuntaan , niitä paitsi jotka omat » valitut armostelukuntaan , kaksi kustakin sanotuista pääjoukoista ; että tarkastajien ja heidän apulaisensa lukumäärä on kolme ; että maali tapahtuu käärityillä lipuilla , jotka pitää jätettämän maistraatiin ylempänä sanottuna päimänä ja aikana seka selmästi sisältämän sen henkilön nimen ja säädyn jota » valitaan , sekä että waalilippu , johon on allekirjoitettu taikka joka sisältää useamman eli » vähemmän nimiä kuin niiden määrä , joita pitää malittllnnm , ei hymälsytä , mutta jos siinä on joku maaliin lelmotoin , niin se poljetaan siinä suhteessa maan mumoin hylväksytään .	että armostelukuntaan pitää » valittaman neljä henkeä , Mka harjoittamat elinkeinon taikka liikettä kaupungissa , yhtä monta , jotka nauttimat palkkaa , penstonia eli muuta sisääntuloa , sekä neljä kaupungissa olemaa kiinteän omistajaa ; tutlintokuntaan , niitä paitsi jotka omat » valitut armostelukuntaan , kaksi kustakin sanotuista pääjoukoista ; että tarkastajien ja heidän apulaisensa lukumäärä on kolme ; että maali tapahtuu käärityillä lipuilla , jotka pitää jätettämän maistraatiin ylempänä sanottuna päimänä ja aikana seka selmästi sisältämän sen henkilön nimen ja säädyn jota » valitaan , sekä että waalilippu , johon on allekirjoitettu taikka joka sisältää useamman eli » vähemmän nimiä kuin niiden määrä , joita pitää malittllnnm , ei hymälsytä , mutta jos siinä on joku maaliin lelmotoin , niin se poljetaan siinä suhteessa maan mumoin hylväksytään .	23	eli	tai	SUBCAT_CC	8.276402473449707	15.072432518005371
5	5	1880	eli	eli	32	SUBCAT_CC	Hymä esimerkki monelle seurakunnalle , joka on jättänyt esi-isäinsä ja omaistensa haudat rappiotilaan , jokaisen kamolla katseltalvaksi <Koi . ) — Mesi Näsijärmessä on nyt 19 tuumaa nollan MATCH keskimäärän ylipuolella .	Hymä esimerkki monelle seurakunnalle , joka on jättänyt esi-isäinsä ja omaistensa haudat rappiotilaan , jokaisen kamolla katseltalvaksi <Koi . ) — Mesi Näsijärmessä on nyt 19 tuumaa nollan eli keskimäärän ylipuolella .	28	eli	tai	SUBCAT_CC	11.24068546295166	9.376460075378418
6	6	1880	eli	eli	24	SUBCAT_CC	Se huomataan paitsi muuta » vilkkaudesta ja hienommasta sekä sileämmästä » villasta MATCH karmasta , joka aina uähdääu » valoisissa huoneissa olemissa eläimissä .	Se huomataan paitsi muuta » vilkkaudesta ja hienommasta sekä sileämmästä » villasta eli karmasta , joka aina uähdääu » valoisissa huoneissa olemissa eläimissä .	12	eli	tai	SUBCAT_CC	10.269618034362793	11.05363941192627
7	7	1880	eli	eli	38	SUBCAT_CC	"Hra O. Eolulldill kllstailNllkjella on illlianluuut siewä taskuuu lllukaiuasli mahtuiua S v o ill MATCH m aan N a n t a t i e-l a r t t a "" jossa teksti ou suomen ja ruolsinkielinen ."	"Hra O. Eolulldill kllstailNllkjella on illlianluuut siewä taskuuu lllukaiuasli mahtuiua S v o ill eli m aan N a n t a t i e-l a r t t a "" jossa teksti ou suomen ja ruolsinkielinen ."	14	eli	tai	SUBCAT_CC	4.667347431182861	4.114393711090088
8	8	1880	eli	eli	30	SUBCAT_CC	Wielä wähem » man on miespuolia ruhtinattaren MATCH Viedin sumun puolella , nimittäin ainoastaan hallitsema ruhtinas Herman ja hänen kolme poikaansa ( syntyneet 1872 , 1876 ja 1877 ) .	Wielä wähem » man on miespuolia ruhtinattaren eli Viedin sumun puolella , nimittäin ainoastaan hallitsema ruhtinas Herman ja hänen kolme poikaansa ( syntyneet 1872 , 1876 ja 1877 ) .	7	eli	tai	SUBCAT_CC	6.824008464813232	6.29892110824585
9	9	1880	eli	eli	26	SUBCAT_CC	Wiime sunnuntaina pudotettiin yksi pruuninen lompakko nahkasta , joka sisälsi 4 partameistä , yhdet sakset ja kamman , n. k. Piispan torille MATCH uimahuoneitten läheisyyteen .	Wiime sunnuntaina pudotettiin yksi pruuninen lompakko nahkasta , joka sisälsi 4 partameistä , yhdet sakset ja kamman , n. k. Piispan torille eli uimahuoneitten läheisyyteen .	22	eli	tai	SUBCAT_CC	8.372947692871094	8.861773490905762
